alpha_in,alpha_out,Omega,segment,rho_local,rho_local_std,D_local,MSD_t20,MSD_t100,MSD_t200,MSD_t1000,MSD_t2000,MSD_t6000,Rg_local,Rg_local_std,n_neighbors_3s,n_neighbors_3s_std,sigma_rho_theory,D_eff,rho_mean,Rg_chain,alpha_ratio,log_Omega
0.1,0.1,0.01,45,0.894313,0.005508,0.03363168868054738,16.92083,61.12643,106.8343,381.1899,584.0466,1313.629,1.534713,0.005446,18.964152,0.448637,0.3155977037356,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,55,0.892365,0.004546,0.033635627188032195,16.55519,59.83506,105.5676,380.2206,582.944,1312.982,1.532909,0.004442,19.475291,0.531402,0.3233173128924,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,65,0.893418,0.007188,0.033624103721603876,16.14562,58.41124,104.1016,378.9665,581.5811,1311.632,1.52789,0.007789,19.980259,0.660657,0.3346500240439,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,75,0.891836,0.006842,0.033606183191033166,15.64134,56.7133,102.415,377.1851,579.9806,1309.611,1.52301,0.009124,20.503266,0.740458,0.350821563782,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,85,0.889094,0.012025,0.03357671176193486,14.92837,54.83103,100.6517,375.4186,578.3021,1307.43,1.517942,0.010704,21.0156,0.785389,0.3718029976187,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,95,0.878069,0.041557,0.033564502182624294,14.04291,52.65084,98.31088,373.3501,576.1083,1305.041,1.516919,0.012027,21.46286,0.649766,0.39786541438490003,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,105,0.85902,0.071208,0.03359047399155797,12.97815,50.0027,95.33018,369.7406,572.2247,1302.511,1.518013,0.029687,21.765228,0.585466,0.42684570556390006,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,115,0.824778,0.116316,0.033481746562134686,11.56905,46.65051,91.1422,364.8962,566.785,1294.243,1.517199,0.051569,21.953246,1.090391,0.4547377809197,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,125,0.722269,0.221804,0.03339581332669116,9.426891,41.70389,84.67643,357.5379,559.0412,1284.292,1.539448,0.104219,21.628745,2.129613,0.47788743258309996,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,135,0.57458,0.271601,0.03336867848847021,6.945437,34.74867,75.31302,345.5131,544.4076,1270.045,1.61782,0.156228,20.246562,3.384259,0.49316640447769994,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
